,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
800,НЕВАДА-ЦЕНТР,real_estate_agent,https://spb.cian.ru/rent/flat/294795943/,Санкт-Петербург,rent,flat,2,6,1,50.0,860,43000,0,Петроградский,Каменноостровский проспект,29,Петроградская
801,Смарт Инновации,real_estate_agent,https://spb.cian.ru/rent/flat/294879051/,Санкт-Петербург,rent,flat,6,15,1,34.0,1176,40000,0,Приморский,Приморский проспект,52К1,Беговая
802,Sample,real_estate_agent,https://spb.cian.ru/rent/flat/294907014/,Санкт-Петербург,rent,flat,5,20,1,43.0,1000,43000,0,Адмиралтейский, Шкапина,9-11,Балтийская
803,МАКРОМИР НЕДВИЖИМОСТЬ,real_estate_agent,https://spb.cian.ru/rent/flat/294427046/,Санкт-Петербург,rent,flat,8,9,2,45.0,888,40000,0,Кировский,Ленинский проспект,134,Ленинский проспект
804,ЮСОН,real_estate_agent,https://spb.cian.ru/rent/flat/294117589/,Санкт-Петербург,rent,flat,19,24,1,39.0,1025,40000,0,Василеостровский,бульвар Вилькицкий,6,Приморская
805,Лидер Недвижимость СПб,real_estate_agent,https://spb.cian.ru/rent/flat/294470962/,Санкт-Петербург,rent,flat,2,5,2,42.2,947,40000,0,Московский, Ленсовета,58,Звездная
806,Lighthome Real Estate,real_estate_agent,https://spb.cian.ru/rent/flat/294692733/,Санкт-Петербург,rent,flat,14,24,1,32.8,1219,40000,0,Московский,Московский проспект,183-185,Московская
807,Валерий Боровков,realtor,https://spb.cian.ru/rent/flat/294390613/,Санкт-Петербург,rent,flat,5,12,2,60.0,666,40000,0,Василеостровский,Морская набережная,9,Приморская
808,Вадим Гаврилов,realtor,https://spb.cian.ru/rent/flat/294718023/,Санкт-Петербург,rent,flat,9,13,1,30.9,1294,40000,0,Невский,Варфоломеевская ,6,Ломоносовская
809,РоссМетр,real_estate_agent,https://spb.cian.ru/rent/flat/282972970/,Санкт-Петербург,rent,flat,1,7,1,33.0,1333,44000,0,Адмиралтейский, Егорова,16,Технологический институт
810,ОРИАННА,real_estate_agent,https://spb.cian.ru/rent/flat/293611320/,Санкт-Петербург,rent,flat,6,9,2,45.9,849,39000,0,Приморский, Маршала Новикова,6К1,Комендантский проспект
