,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
261,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293993434/,Казань,rent,flat,9,19,1,40.0,624,24990,0,Советский, Рашида Нежметдинова,11к5,
262,ФЛЭТ,real_estate_agent,https://kazan.cian.ru/rent/flat/294681684/,Казань,rent,flat,3,9,2,49.0,510,25000,0,Ново-Савиновский,Чистопольская ,33,
263,Максат,real_estate_agent,https://kazan.cian.ru/rent/flat/279338770/,Казань,rent,flat,3,24,1,40.0,750,30000,0,Советский, Аделя Кутуя,110Дк3,Горки
264,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293978549/,Казань,rent,flat,21,22,1,52.0,634,32999,0,Приволжский, Хусаина Мавлютова,17Ек3,Горки
265,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293996776/,Казань,rent,flat,16,19,2,55.0,618,33999,0,Советский, Габдуллы Кариева,4Ак2,
266,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293978544/,Казань,rent,flat,5,19,2,45.0,777,34999,0,Советский, Николая Ершова,66А,
267,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293978557/,Казань,rent,flat,13,26,2,52.0,673,34999,0,Советский, Аметьевская магистраль,18к3,Аметьево
268,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293978507/,Казань,rent,flat,9,19,2,40.0,874,34999,0,Советский, Разведчика Ахмерова,3,
269,Ильмира Закирова,realtor,https://kazan.cian.ru/rent/flat/284301754/,Казань,rent,flat,7,9,3,65.0,461,30000,0,Приволжский,проспект Победы,30к1,Проспект Победы
270,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293976905/,Казань,rent,flat,3,17,2,51.0,745,37999,0,Вахитовский, Достоевского,57,Суконная слобода
271,Максат,real_estate_agent,https://kazan.cian.ru/rent/flat/279350779/,Казань,rent,flat,6,17,1,34.7,864,30000,0,Советский, Сабира Ахтямова,1к1,
272,Макромир Казань,real_estate_agent,https://kazan.cian.ru/rent/flat/294265936/,Казань,rent,flat,14,18,1,41.5,481,20000,0,Кировский, Айрата Арсланова,6,
273,Ильмира Закирова,realtor,https://kazan.cian.ru/rent/flat/272940151/,Казань,rent,flat,4,5,1,34.0,588,20000,0,Ново-Савиновский, Маршала Чуйкова,22,Яшьлек
274,Ильмира Закирова,realtor,https://kazan.cian.ru/rent/flat/273436020/,Казань,rent,flat,9,19,2,52.0,403,21000,0,Кировский, Генерала Махмута Гареева,11/2,
275,Максат,real_estate_agent,https://kazan.cian.ru/rent/flat/281077615/,Казань,rent,flat,12,14,1,40.0,750,30000,0,Московский,проспект Ибрагимова,63а,Козья слобода
276,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293998448/,Казань,rent,flat,1,9,1,37.0,810,29999,0,Ново-Савиновский,Чистопольская ,33,Козья слобода
277,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/294877480/,Казань,rent,flat,5,10,1,44.0,840,36999,0,Приволжский,Агрономическая ,18,Суконная слобода
278,ФЛЭТ,real_estate_agent,https://kazan.cian.ru/rent/flat/294278696/,Казань,rent,flat,1,9,1,32.0,468,15000,0,Советский, Чишмяле,11,
279,Ильмира Закирова,realtor,https://kazan.cian.ru/rent/flat/282487006/,Казань,rent,flat,1,9,1,46.0,434,20000,0,Приволжский, Рихарда Зорге,34,Горки
280,ФЛЭТ,real_estate_agent,https://kazan.cian.ru/rent/flat/294935730/,Казань,rent,flat,7,10,1,36.0,694,25000,0,Ново-Савиновский, Голубятникова,20,
281,Артур Гарифуллин,realtor,https://kazan.cian.ru/rent/flat/294657954/,Казань,rent,flat,5,15,1,42.0,619,26000,0,Ново-Савиновский, Фатыха Амирхана,99,Северный Вокзал
282,ФЛЭТ,real_estate_agent,https://kazan.cian.ru/rent/flat/293788281/,Казань,rent,flat,3,5,1,45.0,666,30000,0,Приволжский, Генерала Ерина,13к2,
283,Артур Гарифуллин,realtor,https://kazan.cian.ru/rent/flat/294941050/,Казань,rent,flat,12,24,2,80.0,375,30000,0,Советский,проспект Победы,139к1,Горки
284,ФЛЭТ,real_estate_agent,https://kazan.cian.ru/rent/flat/294188453/,Казань,rent,flat,24,25,2,54.0,592,32000,0,Приволжский, Братьев Батталовых,20А,
285,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293385864/,Казань,rent,flat,3,17,2,65.0,538,34999,0,Приволжский, Комиссара Габишева,45,Проспект Победы
286,Ильмира Закирова,realtor,https://kazan.cian.ru/rent/flat/283100002/,Казань,rent,flat,8,16,1,38.0,631,24000,0,Советский, Александра Курынова,6к2,
287,Ильмира Закирова,realtor,https://kazan.cian.ru/rent/flat/273664116/,Казань,rent,flat,3,5,2,44.2,678,30000,0,Советский,Даурская ,40,Аметьево
288,Максат,real_estate_agent,https://kazan.cian.ru/rent/flat/283186638/,Казань,rent,flat,9,9,1,40.0,875,35000,0,Ново-Савиновский, Фатыха Амирхана,17,Козья слобода
289,Рустем Хусаинов,realtor,https://kazan.cian.ru/rent/flat/291308991/,Казань,rent,flat,2,9,3,64.0,390,25000,0,Советский, Латышских Стрелков,2а,Аметьево
290,Артур Шайбаков,realtor,https://kazan.cian.ru/rent/flat/294569826/,Казань,rent,flat,12,15,1,45.0,666,30000,0,Вахитовский, Вишневского,29/48,Суконная слобода
291,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293998459/,Казань,rent,flat,12,24,2,41.0,853,34990,0,Советский, Аметьевская магистраль,18к1,Аметьево
292,ЕВРОПА,real_estate_agent,https://kazan.cian.ru/rent/flat/294941726/,Казань,rent,flat,14,15,1,50.0,700,35000,0,Советский, Петра Полушкина,4,Горки
293,Максат,real_estate_agent,https://kazan.cian.ru/rent/flat/280321753/,Казань,rent,flat,3,10,1,46.0,652,30000,0,Московский, Кулахметова,17к1,Яшьлек
294,Руслан Гаптелбариев,realtor,https://kazan.cian.ru/rent/flat/293217874/,Казань,rent,flat,16,26,1,40.0,875,35000,0,Советский, Аделя Кутуя,110Дк3,
295,Рустем Хусаинов,realtor,https://kazan.cian.ru/rent/flat/294424564/,Казань,rent,flat,11,17,1,36.0,972,35000,0,Советский, Петра Полушкина,6,Горки
296,Максат,real_estate_agent,https://kazan.cian.ru/rent/flat/282412253/,Казань,rent,flat,8,9,1,33.0,848,28000,0,Ново-Савиновский, Маршала Чуйкова,35а,Северный Вокзал
297,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293711527/,Казань,rent,flat,6,16,1,32.0,937,29990,0,Кировский,Краснококшайская ,84Бк1,Козья слобода
298,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293997626/,Казань,rent,flat,9,24,1,37.0,810,30000,0,Советский, Космонавтов,61А,
299,ФЛЭТ,real_estate_agent,https://kazan.cian.ru/rent/flat/294383647/,Казань,rent,flat,11,15,1,48.0,625,30000,0,Московский, Соловецких Юнг,1,
300,Las Vegas,real_estate_agent,https://kazan.cian.ru/rent/flat/293997629/,Казань,rent,flat,7,19,1,30.0,1000,30000,0,Советский, Николая Ершова,65Б/1,
