,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
372,ID 72157883,homeowner,https://novosibirsk.cian.ru/rent/flat/294833775/,Новосибирск,rent,flat,2,5,2,42.9,699,30000,0,Ленинский, Забалуева,80,
373,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294640177/,Новосибирск,rent,flat,5,10,2,52.0,500,26000,0,Октябрьский, В. Высоцкого,39,Золотая Нива
374,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294594570/,Новосибирск,rent,flat,19,19,1,33.7,801,27000,0,Октябрьский,Обская ,82,
375,ID 99185564,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294996969/,Новосибирск,rent,flat,9,18,3,130.0,153,20000,0,Заельцовский, Галущака,15,Гагаринская
376,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294491048/,Новосибирск,rent,flat,5,8,1,50.0,2400,120000,0,Заельцовский,Дачное шоссе,22/3,Заельцовская
377,Сфера,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294860923/,Новосибирск,rent,flat,8,13,2,70.0,500,35000,0,Дзержинский,проспект Дзержинского,14,Березовая Роща
378,Новосибирское Квартирное Агентство,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295033257/,Новосибирск,rent,flat,1,10,3,75.0,373,28000,0,Октябрьский, Татьяны Снежиной,49,Золотая Нива
379,ДОКТОР КЛЮЧ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294434856/,Новосибирск,rent,flat,7,9,2,73.7,949,70000,0,Заельцовский,Кедровая ,71,Заельцовская
380,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294432971/,Новосибирск,rent,flat,14,17,2,53.3,806,43000,0,Ленинский, Ясный Берег,33,Площадь Ленина
381,Созвездие Весов,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/291676016/,Новосибирск,rent,flat,1,3,1,41.83,454,19000,0,Советский,,,
382,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294590136/,Новосибирск,rent,flat,9,25,2,62.0,1129,70000,0,Октябрьский,Гурьевская ,177/1,Золотая Нива
383,Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294014187/,Новосибирск,rent,flat,11,21,1,45.0,1022,46000,0,Заельцовский,Красный проспект,220,Заельцовская
384,Сергей  Санников,realtor,https://novosibirsk.cian.ru/rent/flat/292074670/,Новосибирск,rent,flat,10,19,3,80.0,1500,120000,0,Железнодорожный, Щетинкина,18,Площадь Ленина
385,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294201849/,Новосибирск,rent,flat,12,17,3,106.5,751,80000,0,Октябрьский, Кирова,44/2,
386,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/293930533/,Новосибирск,rent,flat,13,17,3,58.0,603,35000,0,Ленинский, Ясный Берег,5,
387,ID 89944544,unknown,https://novosibirsk.cian.ru/rent/flat/295009660/,Новосибирск,rent,flat,14,28,1,28.0,892,25000,0,Центральный, Романова,60,Маршала Покрышкина
