,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
318,City View,real_estate_agent,https://www.cian.ru/rent/flat/293657463/,Москва,rent,flat,30,78,2,76.0,3026,230000,0,Пресненский,1-й Красногвардейский проезд,22с2,Деловой центр
319,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/293730202/,Москва,rent,flat,12,17,3,105.0,1904,200000,0,Беговой,Ленинградский проспект,35С2,Петровский Парк
320,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294999901/,Москва,rent,flat,11,30,2,35.0,2000,70000,0,Рязанский,Окская ,7А,Окская
321,City View,real_estate_agent,https://www.cian.ru/rent/flat/293656292/,Москва,rent,flat,50,68,2,76.0,2894,220000,0,Пресненский,1-й Красногвардейский проезд,22с1,Тестовская
322,City View,real_estate_agent,https://www.cian.ru/rent/flat/289497070/,Москва,rent,flat,35,78,3,94.0,3191,300000,0,Пресненский,1-й Красногвардейский проезд,22с2,Тестовская
323,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/294973620/,Москва,rent,flat,11,22,3,75.0,933,70000,0,Марьино,Мячковский бульвар,11,Братиславская
324,MERSI,real_estate_agent,https://www.cian.ru/rent/flat/293146285/,Москва,rent,flat,42,75,1,38.0,5000,190000,0,Пресненский,1-й Красногвардейский проезд,15,Выставочная
325,BARNES International Realty,real_estate_agent,https://www.cian.ru/rent/flat/294372780/,Москва,rent,flat,17,18,4,215.0,2790,600000,0,Аэропорт,Ленинградский проспект,76К1,Сокол
326,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294736329/,Москва,rent,flat,7,9,1,32.0,2031,65000,0,Западное Дегунино,Ильменский проезд,14к3,Селигерская
327,City View,real_estate_agent,https://www.cian.ru/rent/flat/289496095/,Москва,rent,flat,68,78,3,100.0,3500,350000,0,Пресненский,1-й Красногвардейский проезд,22с2,Тестовская
328,MERSI,real_estate_agent,https://www.cian.ru/rent/flat/293507414/,Москва,rent,flat,5,9,3,143.0,2447,350000,0,Тверской,3-я Тверская-Ямская ,44,Маяковская
329,KOVCHEG,real_estate_agent,https://www.cian.ru/rent/flat/295013429/,Москва,rent,flat,3,35,2,42.0,2857,120000,0,Раменки, Лобачевского,120к1,Аминьевская
330,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/294168162/,Москва,rent,flat,3,7,4,150.0,1733,260000,0,Красносельский,переулок Даев,5,Сухаревская
331,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/294946733/,Москва,rent,flat,14,23,2,55.0,1454,80000,0,Раменки, Столетова,9,Раменки
332,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/294732329/,Москва,rent,flat,3,6,3,107.0,2336,250000,0,Арбат,Малый Каковинский переулок,3,Смоленская
333,Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/294626012/,Москва,rent,flat,39,69,3,220.0,3181,700000,0,Пресненский,набережная Пресненская,8с1,Деловой центр
334,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/rent/flat/279148628/,Москва,rent,flat,42,75,2,42.0,5238,220000,0,Пресненский,1-й Красногвардейский проезд,15,Деловой центр
335,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295048501/,Москва,rent,flat,2,5,3,70.0,1357,95000,0,Филевский парк,Барклая ,15К2,Багратионовская
336,Delight  Realty,real_estate_agent,https://www.cian.ru/rent/flat/292137656/,Москва,rent,flat,3,5,4,163.0,1840,300000,0,Мещанский,переулок Большой Головин,2,Сухаревская
337,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/292773451/,Москва,rent,flat,2,9,4,171.0,1754,300000,0,Тверской,3-я Тверская-Ямская ,25,Маяковская
338,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/295013251/,Москва,rent,flat,5,9,3,90.0,2777,250000,0,Хамовники,Фрунзенская набережная,52,Фрунзенская
339,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/295061082/,Москва,rent,flat,6,7,4,250.0,2800,700000,0,Пресненский,Малый Козихинский переулок,7,Тверская
340,МГСН,real_estate_agent,https://www.cian.ru/rent/flat/293912727/,Москва,rent,flat,12,21,2,52.1,1247,65000,0,Текстильщики,1-й Грайвороновский проезд,11к1,Текстильщики
341,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294977383/,Москва,rent,flat,4,5,3,122.0,1229,150000,0,Замоскворечье,Космодамианская набережная,38С3,Павелецкая
